Oct 15, 2019 - 9474	3810190623
Jul 20, 2019 - 9387	3002033625
Jul 19, 2019 - 9386	3608140634
Jul 18, 2019 - 9385	1910392324
Jul 17, 2019 - 9384	2039080135
Jul 16, 2019 - 9383	1036132425
Jul 15, 2019 - 9382	3721241613
Jul 14, 2019 - 9381	1813302337
Jul 13, 2019 - 9380	1822230825
Jul 12, 2019 - 9379	1318372219
Jul 11, 2019 - 9378	3139301508
Jul 10, 2019 - 9377	3327032202
Jul 9, 2019 - 9376	0617290922
Jul 8, 2019 - 9375	1913042217
Jul 7, 2019 - 9374	2437133032
Jul 6, 2019 - 9373	0328323622
Jul 5, 2019 - 9372	2112391129
Jul 4, 2019 - 9371	0426100327
Jul 3, 2019 - 9370	3412263605
Jul 2, 2019 - 9369	3707150617
Jul 1, 2019 - 9368	1633301304
Jun 30, 2019 - 9367	0609203026
Jun 29, 2019 - 9366	2420110221
Jun 28, 2019 - 9365	1432230615
Jun 27, 2019 - 9364	0314323613
Jun 26, 2019 - 9363	2930353717
Jun 25, 2019 - 9362	1122163407
Jun 24, 2019 - 9361	2239281110
Jun 23, 2019 - 9360	3924220126
Jun 22, 2019 - 9359	2823393404
Jun 21, 2019 - 9358	2434262128
Jun 20, 2019 - 9357	1214062230
Jun 19, 2019 - 9356	3207191025
Jun 18, 2019 - 9355	1424353738
Jun 17, 2019 - 9354	3723333036
Jun 16, 2019 - 9353	2917261218
Jun 15, 2019 - 9352	2726252004
Jun 14, 2019 - 9351	3715333610
Jun 13, 2019 - 9350	3713272117
Jun 12, 2019 - 9349	0513161539
Jun 11, 2019 - 9348	3531221025
Jun 10, 2019 - 9347	0307152305
Jun 9, 2019 - 9346	2416103035
Jun 8, 2019 - 9345	3034212839
Jun 7, 2019 - 9344	0321040730
Jun 6, 2019 - 9343	0116081811
Jun 5, 2019 - 9342	3621203313
Jun 4, 2019 - 9341	1415382013
Jun 3, 2019 - 9340	2129132726
Jun 2, 2019 - 9339	3827221634
Jun 1, 2019 - 9338	0730091819
May 31, 2019 - 9337	1310380226
May 30, 2019 - 9336	1801211705
May 29, 2019 - 9335	2401093717
May 28, 2019 - 9334	3938113201
May 27, 2019 - 9333	1801381230
May 26, 2019 - 9332	1804053313
May 25, 2019 - 9331	1816073401
May 24, 2019 - 9330	2603191101
May 23, 2019 - 9329	1907152301
May 22, 2019 - 9328	0307360804
May 21, 2019 - 9327	2728361110
May 20, 2019 - 9326	1132120402
May 19, 2019 - 9325	0428333415
May 18, 2019 - 9324	3911092518
May 17, 2019 - 9323	1039132712
May 16, 2019 - 9322	3516253717
May 15, 2019 - 9321	2214193918
May 14, 2019 - 9320	3537133931
May 13, 2019 - 9319	0614352120
May 12, 2019 - 9318	0918220430
May 11, 2019 - 9317	1526363331
May 10, 2019 - 9316	2001140508
May 9, 2019 - 9315	1223151014
May 8, 2019 - 9314	1819023229
May 7, 2019 - 9313	3734291533
May 6, 2019 - 9312	3629372135
May 5, 2019 - 9311	0601392736
May 4, 2019 - 9310	3021070403
May 3, 2019 - 9309	2506322707
May 2, 2019 - 9308	2337051133
May 1, 2019 - 9307	3534323615
Apr 30, 2019 - 9306	3730222113
Apr 29, 2019 - 9305	3308241830
Apr 28, 2019 - 9304	1529262021
Apr 27, 2019 - 9303	2207232003
Apr 26, 2019 - 9302	2733300216
Apr 25, 2019 - 9301	1839020116
Apr 24, 2019 - 9300	1909222712
Apr 23, 2019 - 9299	1501283234
Apr 22, 2019 - 9298	2722093502
Apr 21, 2019 - 9297	2611291513
Apr 20, 2019 - 9296	2408262218
Apr 19, 2019 - 9295	2309380802
Apr 18, 2019 - 9294	2621011329
Apr 17, 2019 - 9293	2706070232
Apr 16, 2019 - 9292	2431231834
Apr 15, 2019 - 9291	2212293814
Apr 14, 2019 - 9290	2837202234
Apr 13, 2019 - 9289	2402093139
Apr 12, 2019 - 9288	2617150506
Apr 11, 2019 - 9287	3833350617
Apr 10, 2019 - 9286	0312372631
Apr 9, 2019 - 9285	3238330930
Apr 8, 2019 - 9284	3902062703
Apr 7, 2019 - 9283	0536093913
Apr 6, 2019 - 9282	1839203028
Apr 5, 2019 - 9281	0826281029
Apr 4, 2019 - 9280	0102382837
Apr 3, 2019 - 9279	0428122627
Apr 2, 2019 - 9278	0905011606
Apr 1, 2019 - 9277	0713093139
Mar 31, 2019 - 9276	2416340109
Mar 30, 2019 - 9275	3009171903
Mar 29, 2019 - 9274	1709102601
Mar 28, 2019 - 9273	0931023312
Mar 27, 2019 - 9272	3928213208
Mar 26, 2019 - 9271	2730283311
Mar 25, 2019 - 9270	3830242613
