Jul 17, 2020 - 1573	1213214657	21
Apr 30, 2020 - 9672	0816182937
Apr 29, 2020 - 9671	0609202238
Apr 28, 2020 - 9670	0305243539
Apr 27, 2020 - 9669	0206243538
Apr 26, 2020 - 9668	0730323739
Apr 25, 2020 - 9667	2023252630
Apr 24, 2020 - 9666	0218203031
Apr 23, 2020 - 9665	0217181937
Apr 22, 2020 - 9664	0310233738
Apr 21, 2020 - 9663	1113172736
Apr 20, 2020 - 9662	1726293031
Apr 19, 2020 - 9661	0508143135
Apr 18, 2020 - 9660	0208102537
Apr 17, 2020 - 9659	0103142834
Apr 16, 2020 - 9658	0310121622
Apr 15, 2020 - 9657	0307101737
Apr 14, 2020 - 9656	0712222627
Apr 13, 2020 - 9655	0308273334
Apr 12, 2020 - 9654	1113162122
Apr 11, 2020 - 9653	0714343538
Apr 10, 2020 - 9652	1322273135
Apr 9, 2020 - 9651	1113283032
Apr 8, 2020 - 9650	1315192228
Apr 7, 2020 - 9649	0104202738
Apr 6, 2020 - 9648	1318202531
Apr 5, 2020 - 9647	1119212630
Apr 4, 2020 - 9646	2224253233
Apr 3, 2020 - 9645	0910172225
Apr 2, 2020 - 9644	1314252638
Apr 1, 2020 - 9643	0722303139
Mar 31, 2020 - 9642	1517303238
Mar 30, 2020 - 9641	0508152728
Mar 29, 2020 - 9640	0722252833
Mar 28, 2020 - 9639	1322242636
Mar 27, 2020 - 9638	1718202435
Mar 26, 2020 - 9637	0207181935
Mar 25, 2020 - 9636	1921223437
Mar 24, 2020 - 9635	0418193036
Mar 23, 2020 - 9634	0715193139
Mar 22, 2020 - 9633	0211222730
Mar 21, 2020 - 9632	1116172430
Mar 20, 2020 - 9631	0123272833
Mar 19, 2020 - 9630	0102162128
Mar 18, 2020 - 9629	0105103236
Mar 17, 2020 - 9628	0719232526
Mar 16, 2020 - 9627	0506091820
Mar 15, 2020 - 9626	2628293239
Mar 14, 2020 - 9625	0408123135
Mar 13, 2020 - 9624	0810283638
Mar 12, 2020 - 9623	1022333435
Mar 11, 2020 - 9622	0213232430
Mar 10, 2020 - 9621	1215172734
Mar 9, 2020 - 9620	0203111625
Mar 8, 2020 - 9619	0713233139
Mar 7, 2020 - 9618	0406111627
Mar 6, 2020 - 9617	0116172332
Mar 5, 2020 - 9616	0308192736
Mar 4, 2020 - 9615	1727283035
Mar 3, 2020 - 9614	1822262934
Mar 2, 2020 - 9613	0916202437
Mar 1, 2020 - 9612	0720223138
Feb 29, 2020 - 9611	0517252833
Feb 28, 2020 - 9610	0103242627
Feb 27, 2020 - 9609	0112222437
Feb 26, 2020 - 9608	0919232529
Feb 25, 2020 - 9607	0413141832
Feb 24, 2020 - 9606	0413202133
Feb 23, 2020 - 9605	0506243739
Feb 22, 2020 - 9604	1021223639
Feb 21, 2020 - 9603	0511212728
Feb 20, 2020 - 9602	0822243436
Feb 19, 2020 - 9601	0304053038
Feb 18, 2020 - 9600	0311283436
Nov 12, 2019 - 9502	1721283038
Nov 11, 2019 - 9501	1623283437
Nov 10, 2019 - 9500	0927333536
Nov 9, 2019 - 9499	0410132431
Nov 8, 2019 - 9498	0524263036
Nov 7, 2019 - 9497	0511272829
Nov 6, 2019 - 9496	0410121739
Nov 5, 2019 - 9495	0815233639
Nov 4, 2019 - 9494	0516181933
Nov 3, 2019 - 9493	0416182339
Nov 2, 2019 - 9492	0405082832
Nov 1, 2019 - 9491	0708293438
Oct 31, 2019 - 9490	0310131416
Oct 30, 2019 - 9489	0510142029
Oct 29, 2019 - 9488	0919232933
Oct 28, 2019 - 9487	1319222639
