['11[1]', '18[4]', '22[3]', '23[3]', '41[4]']
['19[3]', '22[3]', '25[3]', '33[3]', '46[4]']
['22[3]', '23[3]', '34[3]', '37[2]', '41[4]']
['16[1]', '21[1]', '22[3]', '31[3]', '34[3]']
['16[1]', '20[4]', '31[3]', '32[3]', '34[3]']
['01[1]', '06[3]', '30[2]', '33[3]', '34[3]']
['14[2]', '21[1]', '29[4]', '33[3]', '37[2]']
['14[2]', '18[4]', '19[3]', '33[3]', '45[4]']
['07[4]', '11[1]', '21[1]', '41[4]', '43[3]']
['01[1]', '06[3]', '11[1]', '30[2]', '37[2]']
['04[2]', '14[2]', '16[1]', '30[2]', '46[4]']
['18[4]', '19[3]', '21[1]', '43[3]', '46[4]']
['01[1]', '04[2]', '19[3]', '25[3]', '29[4]']
['11[1]', '18[4]', '22[3]', '23[3]', '42[3]']
['19[3]', '20[4]', '29[4]', '32[3]', '43[3]']
['21[1]', '25[3]', '29[4]', '32[3]', '39[3]']
['06[3]', '11[1]', '18[4]', '30[2]', '34[3]']
['01[1]', '08[3]', '21[1]', '30[2]', '35[1]']
['22[3]', '26[3]', '27[3]', '37[2]', '45[4]']
['21[1]', '22[3]', '25[3]', '37[2]', '41[4]']
['14[2]', '19[3]', '32[3]', '35[1]', '46[4]']
['07[4]', '22[3]', '23[3]', '27[3]', '45[4]']
['07[4]', '11[1]', '21[1]', '43[3]', '47[1]']
['16[1]', '19[3]', '20[4]', '22[3]', '33[3]']
['07[4]', '16[1]', '23[3]', '32[3]', '45[4]']
['08[3]', '18[4]', '27[3]', '35[1]', '37[2]']
['01[1]', '06[3]', '10[4]', '26[3]', '32[3]']
['18[4]', '30[2]', '34[3]', '37[2]', '46[4]']
['09[2]', '34[3]', '35[1]', '38[3]', '45[4]']
['09[2]', '19[3]', '20[4]', '46[4]', '47[1]']
['19[3]', '21[1]', '25[3]', '32[3]', '47[1]']
['01[1]', '19[3]', '20[4]', '23[3]', '29[4]']
['09[2]', '17[2]', '26[3]', '45[4]', '47[1]']
['18[4]', '21[1]', '23[3]', '25[3]', '30[2]']
['01[1]', '10[4]', '18[4]', '23[3]', '39[3]']
['09[2]', '26[3]', '30[2]', '38[3]', '41[4]']
['18[4]', '21[1]', '23[3]', '25[3]', '39[3]']
['06[3]', '10[4]', '18[4]', '23[3]', '30[2]']
['08[3]', '16[1]', '20[4]', '22[3]', '32[3]']
['09[2]', '20[4]', '34[3]', '35[1]', '45[4]']
['01[1]', '16[1]', '23[3]', '30[2]', '45[4]']
['11[1]', '14[2]', '23[3]', '29[4]', '32[3]']
['01[1]', '10[4]', '14[2]', '30[2]', '32[3]']
['01[1]', '06[3]', '11[1]', '34[3]', '41[4]']
['17[2]', '26[3]', '29[4]', '33[3]', '37[2]']
['11[1]', '14[2]', '18[4]', '34[3]', '41[4]']
['14[2]', '21[1]', '39[3]', '41[4]', '43[3]']
['06[3]', '21[1]', '23[3]', '33[3]', '39[3]']
['08[3]', '10[4]', '14[2]', '17[2]', '27[3]']
['10[4]', '20[4]', '23[3]', '39[3]', '47[1]']
['23[3]', '30[2]', '35[1]', '37[2]', '45[4]']
['20[4]', '33[3]', '34[3]', '35[1]', '43[3]']
['22[3]', '25[3]', '30[2]', '34[3]', '37[2]']
['09[2]', '20[4]', '21[1]', '30[2]', '46[4]']
['18[4]', '21[1]', '23[3]', '37[2]', '43[3]']
['19[3]', '23[3]', '32[3]', '38[3]', '45[4]']
['20[4]', '22[3]', '26[3]', '39[3]', '45[4]']
['11[1]', '14[2]', '18[4]', '19[3]', '23[3]']
['04[2]', '11[1]', '37[2]', '41[4]', '43[3]']
['08[3]', '33[3]', '39[3]', '45[4]', '47[1]']
['07[4]', '23[3]', '31[3]', '35[1]', '38[3]']
['14[2]', '22[3]', '30[2]', '34[3]', '45[4]']
['20[4]', '22[3]', '26[3]', '33[3]', '47[1]']
['01[1]', '04[2]', '20[4]', '23[3]', '29[4]']
['08[3]', '18[4]', '25[3]', '30[2]', '34[3]']
['08[3]', '18[4]', '22[3]', '34[3]', '42[3]']
['06[3]', '21[1]', '31[3]', '34[3]', '35[1]']
['10[4]', '23[3]', '32[3]', '39[3]', '47[1]']
['04[2]', '22[3]', '31[3]', '35[1]', '37[2]']
['01[1]', '06[3]', '10[4]', '17[2]', '26[3]']
['08[3]', '19[3]', '20[4]', '33[3]', '45[4]']
['01[1]', '08[3]', '16[1]', '21[1]', '31[3]']
['08[3]', '19[3]', '22[3]', '32[3]', '47[1]']
['17[2]', '18[4]', '35[1]', '45[4]', '47[1]']
['04[2]', '08[3]', '14[2]', '19[3]', '33[3]']
['04[2]', '14[2]', '39[3]', '43[3]', '46[4]']
['09[2]', '11[1]', '17[2]', '27[3]', '45[4]']
['17[2]', '21[1]', '22[3]', '27[3]', '45[4]']
['07[4]', '08[3]', '17[2]', '43[3]', '47[1]']
['04[2]', '07[4]', '17[2]', '38[3]', '43[3]']
['21[1]', '25[3]', '29[4]', '33[3]', '34[3]']
['09[2]', '19[3]', '20[4]', '38[3]', '46[4]']
['04[2]', '14[2]', '16[1]', '26[3]', '27[3]']
['11[1]', '18[4]', '22[3]', '26[3]', '37[2]']
['17[2]', '29[4]', '32[3]', '39[3]', '43[3]']
['08[3]', '20[4]', '37[2]', '39[3]', '47[1]']
['04[2]', '07[4]', '23[3]', '31[3]', '38[3]']
['06[3]', '10[4]', '17[2]', '18[4]', '39[3]']
['08[3]', '17[2]', '22[3]', '25[3]', '37[2]']
['09[2]', '23[3]', '31[3]', '38[3]', '39[3]']
['07[4]', '22[3]', '34[3]', '35[1]', '45[4]']
['08[3]', '14[2]', '16[1]', '22[3]', '31[3]']
['01[1]', '14[2]', '18[4]', '27[3]', '37[2]']
['19[3]', '20[4]', '22[3]', '32[3]', '46[4]']
['01[1]', '04[2]', '11[1]', '14[2]', '33[3]']
['22[3]', '25[3]', '30[2]', '37[2]', '46[4]']
['14[2]', '32[3]', '37[2]', '43[3]', '47[1]']
['17[2]', '33[3]', '35[1]', '37[2]', '43[3]']
['10[4]', '22[3]', '23[3]', '32[3]', '47[1]']
['04[2]', '07[4]', '11[1]', '29[4]', '34[3]']
['18[4]', '21[1]', '22[3]', '27[3]', '31[3]']
['08[3]', '14[2]', '16[1]', '19[3]', '29[4]']
['07[4]', '23[3]', '30[2]', '39[3]', '41[4]']
['01[1]', '04[2]', '06[3]', '31[3]', '41[4]']
['08[3]', '11[1]', '38[3]', '42[3]', '47[1]']
['06[3]', '10[4]', '23[3]', '32[3]', '39[3]']
['01[1]', '07[4]', '16[1]', '32[3]', '46[4]']
['07[4]', '22[3]', '32[3]', '45[4]', '47[1]']
['16[1]', '19[3]', '22[3]', '32[3]', '46[4]']
['04[2]', '07[4]', '11[1]', '26[3]', '34[3]']
['14[2]', '19[3]', '22[3]', '35[1]', '41[4]']
['11[1]', '30[2]', '32[3]', '34[3]', '43[3]']
['21[1]', '30[2]', '32[3]', '43[3]', '46[4]']
['14[2]', '19[3]', '32[3]', '35[1]', '46[4]']
['14[2]', '17[2]', '21[1]', '22[3]', '23[3]']
['08[3]', '14[2]', '18[4]', '27[3]', '43[3]']
['01[1]', '20[4]', '21[1]', '31[3]', '46[4]']
['20[4]', '23[3]', '35[1]', '43[3]', '47[1]']
['18[4]', '38[3]', '39[3]', '41[4]', '43[3]']
['04[2]', '22[3]', '25[3]', '33[3]', '39[3]']
['09[2]', '16[1]', '21[1]', '30[2]', '41[4]']
['14[2]', '21[1]', '23[3]', '35[1]', '43[3]']
['04[2]', '08[3]', '16[1]', '45[4]', '47[1]']
['01[1]', '07[4]', '26[3]', '29[4]', '33[3]']
['11[1]', '19[3]', '21[1]', '32[3]', '45[4]']
['18[4]', '22[3]', '23[3]', '27[3]', '31[3]']
['26[3]', '30[2]', '35[1]', '37[2]', '43[3]']
['11[1]', '26[3]', '30[2]', '39[3]', '43[3]']
['22[3]', '23[3]', '25[3]', '30[2]', '34[3]']
['01[1]', '23[3]', '25[3]', '38[3]', '41[4]']
['17[2]', '18[4]', '33[3]', '43[3]', '46[4]']
['01[1]', '07[4]', '21[1]', '39[3]', '41[4]']
['01[1]', '08[3]', '17[2]', '21[1]', '25[3]']
['07[4]', '11[1]', '22[3]', '45[4]', '47[1]']
['09[2]', '11[1]', '31[3]', '38[3]', '47[1]']
['14[2]', '17[2]', '22[3]', '39[3]', '45[4]']
['14[2]', '16[1]', '31[3]', '33[3]', '46[4]']
['08[3]', '17[2]', '21[1]', '27[3]', '43[3]']
['10[4]', '22[3]', '26[3]', '30[2]', '32[3]']
['04[2]', '19[3]', '23[3]', '29[4]', '43[3]']
['19[3]', '21[1]', '25[3]', '46[4]', '47[1]']
['14[2]', '19[3]', '26[3]', '29[4]', '35[1]']
['04[2]', '06[3]', '11[1]', '27[3]', '31[3]']
['07[4]', '08[3]', '31[3]', '32[3]', '38[3]']
['04[2]', '19[3]', '23[3]', '29[4]', '35[1]']
['01[1]', '17[2]', '20[4]', '37[2]', '45[4]']
['04[2]', '19[3]', '23[3]', '33[3]', '43[3]']
['14[2]', '22[3]', '31[3]', '34[3]', '41[4]']
['16[1]', '18[4]', '19[3]', '22[3]', '46[4]']
['19[3]', '20[4]', '32[3]', '38[3]', '45[4]']
['01[1]', '07[4]', '35[1]', '42[3]', '46[4]']
['01[1]', '08[3]', '19[3]', '20[4]', '33[3]']
['08[3]', '18[4]', '27[3]', '35[1]', '43[3]']
['17[2]', '20[4]', '32[3]', '45[4]', '47[1]']
['08[3]', '17[2]', '21[1]', '25[3]', '41[4]']
['07[4]', '16[1]', '22[3]', '42[3]', '46[4]']
['01[1]', '04[2]', '07[4]', '29[4]', '31[3]']
['09[2]', '20[4]', '21[1]', '31[3]', '39[3]']
['01[1]', '07[4]', '21[1]', '29[4]', '39[3]']
['06[3]', '16[1]', '18[4]', '19[3]', '41[4]']
['01[1]', '04[2]', '11[1]', '14[2]', '27[3]']
['16[1]', '20[4]', '26[3]', '29[4]', '31[3]']
['16[1]', '26[3]', '38[3]', '39[3]', '42[3]']
['01[1]', '11[1]', '20[4]', '37[2]', '39[3]']
['04[2]', '11[1]', '20[4]', '22[3]', '27[3]']
['01[1]', '16[1]', '21[1]', '23[3]', '27[3]']
['07[4]', '16[1]', '31[3]', '32[3]', '34[3]']
['04[2]', '07[4]', '26[3]', '27[3]', '45[4]']
['07[4]', '23[3]', '31[3]', '33[3]', '47[1]']
['20[4]', '23[3]', '30[2]', '33[3]', '45[4]']
['04[2]', '08[3]', '29[4]', '31[3]', '35[1]']
['06[3]', '18[4]', '27[3]', '31[3]', '37[2]']
['20[4]', '21[1]', '37[2]', '38[3]', '41[4]']
['01[1]', '11[1]', '14[2]', '31[3]', '38[3]']
['21[1]', '25[3]', '29[4]', '32[3]', '37[2]']
['07[4]', '22[3]', '30[2]', '33[3]', '46[4]']
['14[2]', '18[4]', '30[2]', '38[3]', '43[3]']
['04[2]', '20[4]', '35[1]', '38[3]', '43[3]']
['11[1]', '14[2]', '19[3]', '38[3]', '46[4]']
['04[2]', '20[4]', '22[3]', '27[3]', '31[3]']
['18[4]', '23[3]', '31[3]', '39[3]', '41[4]']
['01[1]', '18[4]', '23[3]', '29[4]', '42[3]']
['01[1]', '06[3]', '08[3]', '10[4]', '27[3]']
['10[4]', '17[2]', '20[4]', '23[3]', '32[3]']
['16[1]', '31[3]', '39[3]', '46[4]', '47[1]']
['11[1]', '18[4]', '23[3]', '29[4]', '43[3]']
['04[2]', '11[1]', '20[4]', '27[3]', '31[3]']
['18[4]', '19[3]', '22[3]', '23[3]', '25[3]']
['11[1]', '30[2]', '32[3]', '37[2]', '45[4]']
['07[4]', '30[2]', '32[3]', '38[3]', '43[3]']
['08[3]', '14[2]', '22[3]', '45[4]', '47[1]']
['20[4]', '23[3]', '30[2]', '32[3]', '39[3]']
['06[3]', '10[4]', '18[4]', '26[3]', '47[1]']
['09[2]', '11[1]', '20[4]', '30[2]', '45[4]']
['07[4]', '17[2]', '32[3]', '38[3]', '45[4]']
['10[4]', '18[4]', '22[3]', '26[3]', '33[3]']
['01[1]', '17[2]', '18[4]', '21[1]', '25[3]']
['14[2]', '21[1]', '23[3]', '38[3]', '39[3]']
['08[3]', '18[4]', '19[3]', '25[3]', '29[4]']
['04[2]', '33[3]', '38[3]', '43[3]', '46[4]']
['07[4]', '11[1]', '39[3]', '42[3]', '47[1]']
['04[2]', '30[2]', '34[3]', '35[1]', '45[4]']
['21[1]', '22[3]', '30[2]', '35[1]', '41[4]']
['06[3]', '21[1]', '32[3]', '35[1]', '47[1]']
['08[3]', '16[1]', '20[4]', '32[3]', '37[2]']
['08[3]', '10[4]', '14[2]', '18[4]', '27[3]']
['08[3]', '11[1]', '14[2]', '22[3]', '39[3]']
['06[3]', '17[2]', '23[3]', '32[3]', '35[1]']
['07[4]', '21[1]', '30[2]', '38[3]', '43[3]']
['07[4]', '22[3]', '30[2]', '32[3]', '45[4]']
['01[1]', '14[2]', '26[3]', '30[2]', '45[4]']
['14[2]', '18[4]', '27[3]', '35[1]', '43[3]']
['07[4]', '08[3]', '11[1]', '17[2]', '29[4]']
['22[3]', '30[2]', '32[3]', '34[3]', '46[4]']
['11[1]', '22[3]', '32[3]', '37[2]', '46[4]']
['08[3]', '19[3]', '20[4]', '32[3]', '43[3]']
['14[2]', '19[3]', '22[3]', '35[1]', '47[1]']
['09[2]', '19[3]', '20[4]', '26[3]', '29[4]']
['04[2]', '11[1]', '14[2]', '19[3]', '43[3]']
['08[3]', '20[4]', '21[1]', '30[2]', '38[3]']
['08[3]', '14[2]', '16[1]', '18[4]', '45[4]']
['06[3]', '11[1]', '23[3]', '30[2]', '32[3]']
['17[2]', '20[4]', '26[3]', '39[3]', '43[3]']
['09[2]', '29[4]', '33[3]', '35[1]', '39[3]']
['09[2]', '17[2]', '20[4]', '35[1]', '38[3]']
['07[4]', '17[2]', '39[3]', '41[4]', '47[1]']
['01[1]', '04[2]', '06[3]', '11[1]', '46[4]']
['11[1]', '14[2]', '29[4]', '32[3]', '43[3]']
['10[4]', '14[2]', '18[4]', '38[3]', '47[1]']
['18[4]', '26[3]', '33[3]', '35[1]', '45[4]']
['14[2]', '22[3]', '33[3]', '34[3]', '45[4]']
['04[2]', '08[3]', '19[3]', '35[1]', '45[4]']
['08[3]', '18[4]', '25[3]', '27[3]', '38[3]']
['08[3]', '14[2]', '21[1]', '32[3]', '45[4]']
['21[1]', '22[3]', '31[3]', '46[4]', '47[1]']
['08[3]', '20[4]', '22[3]', '41[4]', '47[1]']
['04[2]', '19[3]', '33[3]', '35[1]', '45[4]']
['16[1]', '26[3]', '41[4]', '43[3]', '47[1]']
['04[2]', '06[3]', '19[3]', '26[3]', '35[1]']
['26[3]', '30[2]', '35[1]', '41[4]', '43[3]']
['14[2]', '23[3]', '29[4]', '33[3]', '35[1]']
['11[1]', '26[3]', '30[2]', '33[3]', '34[3]']
['04[2]', '14[2]', '19[3]', '29[4]', '43[3]']
['04[2]', '14[2]', '17[2]', '27[3]', '35[1]']
['14[2]', '18[4]', '30[2]', '38[3]', '39[3]']
['07[4]', '11[1]', '29[4]', '33[3]', '34[3]']
['21[1]', '22[3]', '31[3]', '34[3]', '46[4]']
['08[3]', '14[2]', '32[3]', '35[1]', '43[3]']
['04[2]', '11[1]', '29[4]', '37[2]', '39[3]']
['18[4]', '29[4]', '33[3]', '35[1]', '43[3]']
['06[3]', '30[2]', '33[3]', '34[3]', '46[4]']
['11[1]', '14[2]', '26[3]', '33[3]', '34[3]']
['16[1]', '20[4]', '22[3]', '31[3]', '33[3]']
['06[3]', '18[4]', '31[3]', '35[1]', '39[3]']
['09[2]', '20[4]', '23[3]', '37[2]', '45[4]']
['18[4]', '21[1]', '34[3]', '41[4]', '47[1]']
['04[2]', '06[3]', '08[3]', '16[1]', '41[4]']
['04[2]', '08[3]', '22[3]', '35[1]', '45[4]']
['14[2]', '26[3]', '29[4]', '31[3]', '33[3]']
['04[2]', '11[1]', '19[3]', '22[3]', '41[4]']
['18[4]', '21[1]', '27[3]', '38[3]', '43[3]']
['04[2]', '19[3]', '23[3]', '29[4]', '33[3]']
['09[2]', '11[1]', '19[3]', '20[4]', '46[4]']
['04[2]', '07[4]', '26[3]', '30[2]', '45[4]']
['14[2]', '30[2]', '33[3]', '43[3]', '46[4]']
['06[3]', '08[3]', '21[1]', '30[2]', '32[3]']
['08[3]', '11[1]', '14[2]', '22[3]', '27[3]']
['16[1]', '23[3]', '31[3]', '34[3]', '38[3]']
['04[2]', '20[4]', '31[3]', '39[3]', '46[4]']
['18[4]', '34[3]', '42[3]', '46[4]', '47[1]']
['08[3]', '14[2]', '38[3]', '41[4]', '43[3]']
['04[2]', '06[3]', '27[3]', '35[1]', '46[4]']
['01[1]', '14[2]', '19[3]', '26[3]', '32[3]']
['01[1]', '20[4]', '23[3]', '29[4]', '35[1]']
['14[2]', '18[4]', '19[3]', '26[3]', '41[4]']
['09[2]', '11[1]', '26[3]', '38[3]', '42[3]']
['16[1]', '18[4]', '29[4]', '34[3]', '42[3]']
['18[4]', '25[3]', '26[3]', '34[3]', '38[3]']
['19[3]', '21[1]', '38[3]', '43[3]', '46[4]']
['07[4]', '17[2]', '35[1]', '39[3]', '47[1]']
['09[2]', '35[1]', '37[2]', '39[3]', '42[3]']
['04[2]', '22[3]', '25[3]', '30[2]', '41[4]']
['09[2]', '11[1]', '17[2]', '39[3]', '46[4]']
['04[2]', '06[3]', '23[3]', '41[4]', '47[1]']
['09[2]', '26[3]', '31[3]', '41[4]', '47[1]']
['01[1]', '14[2]', '19[3]', '23[3]', '32[3]']
['14[2]', '31[3]', '32[3]', '35[1]', '37[2]']
['04[2]', '11[1]', '20[4]', '37[2]', '43[3]']
['01[1]', '19[3]', '32[3]', '46[4]', '47[1]']
['04[2]', '07[4]', '11[1]', '26[3]', '45[4]']
['04[2]', '31[3]', '33[3]', '46[4]', '47[1]']
['20[4]', '29[4]', '33[3]', '39[3]', '43[3]']
['11[1]', '14[2]', '29[4]', '34[3]', '43[3]']
['04[2]', '07[4]', '08[3]', '16[1]', '41[4]']
['08[3]', '17[2]', '20[4]', '21[1]', '32[3]']
['04[2]', '07[4]', '22[3]', '35[1]', '46[4]']
['07[4]', '26[3]', '29[4]', '34[3]', '43[3]']
['04[2]', '14[2]', '22[3]', '26[3]', '33[3]']
['04[2]', '08[3]', '20[4]', '38[3]', '39[3]']
['14[2]', '16[1]', '32[3]', '38[3]', '45[4]']
['04[2]', '07[4]', '38[3]', '39[3]', '41[4]']
['01[1]', '04[2]', '11[1]', '20[4]', '39[3]']
['17[2]', '20[4]', '26[3]', '35[1]', '41[4]']
['04[2]', '07[4]', '16[1]', '29[4]', '31[3]']
['19[3]', '22[3]', '32[3]', '35[1]', '46[4]']
['01[1]', '06[3]', '21[1]', '31[3]', '34[3]']
['17[2]', '20[4]', '29[4]', '33[3]', '43[3]']
['04[2]', '19[3]', '22[3]', '33[3]', '45[4]']
['08[3]', '10[4]', '17[2]', '22[3]', '32[3]']
['09[2]', '21[1]', '26[3]', '38[3]', '47[1]']
['19[3]', '23[3]', '25[3]', '33[3]', '38[3]']
['04[2]', '14[2]', '19[3]', '38[3]', '41[4]']
['04[2]', '07[4]', '31[3]', '46[4]', '47[1]']
['07[4]', '22[3]', '35[1]', '45[4]', '47[1]']
['04[2]', '08[3]', '17[2]', '20[4]', '27[3]']
['01[1]', '20[4]', '27[3]', '38[3]', '45[4]']
['01[1]', '04[2]', '20[4]', '27[3]', '31[3]']
['01[1]', '14[2]', '18[4]', '33[3]', '46[4]']
['16[1]', '20[4]', '22[3]', '41[4]', '47[1]']
['08[3]', '17[2]', '25[3]', '33[3]', '38[3]']
['23[3]', '37[2]', '38[3]', '39[3]', '47[1]']
['14[2]', '17[2]', '29[4]', '32[3]', '34[3]']
['09[2]', '16[1]', '19[3]', '20[4]', '47[1]']
['09[2]', '20[4]', '31[3]', '34[3]', '47[1]']
['14[2]', '17[2]', '33[3]', '35[1]', '46[4]']
['16[1]', '18[4]', '38[3]', '43[3]', '46[4]']
['19[3]', '21[1]', '25[3]', '32[3]', '46[4]']
['04[2]', '20[4]', '26[3]', '27[3]', '43[3]']
['07[4]', '16[1]', '21[1]', '33[3]', '46[4]']
['10[4]', '20[4]', '23[3]', '33[3]', '38[3]']
['14[2]', '23[3]', '35[1]', '37[2]', '43[3]']
['09[2]', '10[4]', '20[4]', '26[3]', '47[1]']
['06[3]', '17[2]', '18[4]', '21[1]', '26[3]']
['17[2]', '20[4]', '33[3]', '38[3]', '47[1]']
['07[4]', '11[1]', '38[3]', '41[4]', '43[3]']
['20[4]', '26[3]', '34[3]', '35[1]', '43[3]']
['20[4]', '22[3]', '23[3]', '39[3]', '47[1]']
['01[1]', '08[3]', '11[1]', '27[3]', '45[4]']
['14[2]', '30[2]', '33[3]', '39[3]', '43[3]']
['01[1]', '11[1]', '26[3]', '41[4]', '47[1]']
['09[2]', '33[3]', '39[3]', '46[4]', '47[1]']
['01[1]', '16[1]', '17[2]', '21[1]', '45[4]']
['09[2]', '23[3]', '29[4]', '37[2]', '42[3]']
['04[2]', '14[2]', '27[3]', '43[3]', '46[4]']
['01[1]', '04[2]', '19[3]', '23[3]', '45[4]']
['11[1]', '21[1]', '23[3]', '27[3]', '45[4]']
['08[3]', '18[4]', '33[3]', '35[1]', '39[3]']
['10[4]', '20[4]', '26[3]', '33[3]', '38[3]']
['14[2]', '26[3]', '29[4]', '31[3]', '33[3]']
['11[1]', '30[2]', '37[2]', '38[3]', '43[3]']
['14[2]', '18[4]', '22[3]', '37[2]', '41[4]']
['08[3]', '11[1]', '14[2]', '19[3]', '38[3]']
['17[2]', '18[4]', '34[3]', '35[1]', '45[4]']
['14[2]', '35[1]', '39[3]', '46[4]', '47[1]']
['14[2]', '19[3]', '21[1]', '26[3]', '29[4]']
['04[2]', '07[4]', '27[3]', '35[1]', '38[3]']
['01[1]', '16[1]', '20[4]', '39[3]', '46[4]']
['19[3]', '32[3]', '35[1]', '38[3]', '46[4]']
['06[3]', '11[1]', '27[3]', '37[2]', '46[4]']
['08[3]', '17[2]', '20[4]', '29[4]', '39[3]']
['04[2]', '17[2]', '35[1]', '43[3]', '46[4]']
['19[3]', '20[4]', '26[3]', '32[3]', '43[3]']
['06[3]', '16[1]', '18[4]', '21[1]', '46[4]']
['09[2]', '11[1]', '19[3]', '20[4]', '23[3]']
['16[1]', '19[3]', '23[3]', '32[3]', '45[4]']
['07[4]', '11[1]', '21[1]', '22[3]', '31[3]']
['04[2]', '06[3]', '23[3]', '39[3]', '47[1]']
['16[1]', '18[4]', '31[3]', '37[2]', '38[3]']
['08[3]', '17[2]', '32[3]', '38[3]', '45[4]']
['01[1]', '19[3]', '20[4]', '33[3]', '45[4]']
['08[3]', '09[2]', '21[1]', '29[4]', '39[3]']
['18[4]', '25[3]', '27[3]', '37[2]', '46[4]']
['01[1]', '08[3]', '18[4]', '19[3]', '38[3]']
['01[1]', '14[2]', '16[1]', '21[1]', '46[4]']
['08[3]', '10[4]', '32[3]', '34[3]', '47[1]']
['01[1]', '04[2]', '39[3]', '41[4]', '47[1]']
['04[2]', '14[2]', '22[3]', '33[3]', '46[4]']
['14[2]', '17[2]', '23[3]', '33[3]', '43[3]']
['14[2]', '17[2]', '26[3]', '35[1]', '41[4]']
['16[1]', '17[2]', '18[4]', '21[1]', '46[4]']
['11[1]', '21[1]', '22[3]', '30[2]', '46[4]']
['18[4]', '21[1]', '23[3]', '27[3]', '43[3]']
['04[2]', '07[4]', '08[3]', '22[3]', '27[3]']
['04[2]', '08[3]', '14[2]', '29[4]', '33[3]']
['22[3]', '25[3]', '26[3]', '33[3]', '39[3]']
['01[1]', '06[3]', '11[1]', '21[1]', '31[3]']
['09[2]', '20[4]', '29[4]', '31[3]', '35[1]']
['16[1]', '20[4]', '21[1]', '22[3]', '30[2]']
['04[2]', '08[3]', '22[3]', '30[2]', '35[1]']
['10[4]', '20[4]', '23[3]', '32[3]', '47[1]']
['25[3]', '34[3]', '37[2]', '38[3]', '41[4]']
